Watchlist 'nyse4'

nyse4
Symbol,Last,Price / Earnings Ratio - Current,Market Cap
PVH,91.68,-5.9354,"6,518 M"
PVL,.785000,3.7038,26 M
PWR,69.13,25.35,"9,599 M"
PXD,108.44,107.77,"17,830 M"
PXS,.7999,-2.0878,17 M
PZC,10.23,25.667,229 M
PZG,1.05,-4.68,36 M
QD,1.23,1.3777,312 M
QEP,2.17,25.587,527 M
QH,7.71,-243.25,400 M
QK,3.22,-1.387,154 M
QS,131.67,<empty>,"47,791 M"
QSR,60.61,<empty>,"18,420 M"
QTS,61.30,-181.96,"3,950 M"
QTT,1.90,-1.5537,507 M
R,63.84,-18.474,"3,440 M"
RA,17.69,<empty>,776 M
RAD,17.50,-2.5135,966 M
RBA,70.09,<empty>,"7,690 M"
RBC,118.58,26.957,"4,814 M"
RC,12.44,16.348,678 M
RCI,45.71,<empty>,"23,080 M"
RCL,69.69,-3.6686,"15,634 M"
RCM,23.43,263.37,"2,733 M"
RCS,6.87,-14.907,302 M
RDN,19.91,9.903,"3,814 M"
RDY,69.31,46.893,"11,500 M"
RE,228.14,14.79,"9,118 M"
REG,45.24,165.08,"7,676 M"
REI,.6977,-.5482,57 M
RES,3.18,-3.1843,684 M
REV,13.47,-1.7959,718 M
RF,15.43,19.117,"14,820 M"
RFP,6.10,-92.397,497 M
RGA,111.59,14.237,"7,581 M"
RGP,12.245,15.94,397 M
RGR,68.14,17.111,"1,192 M"
RGS,9.17,-1.7478,327 M
RGT,13.15,46.458,138 M
RH,464.59,55.953,"9,478 M"
RHE,1.64,-.33232,2.8 M
RHI,62.04,22.142,"7,071 M"
RHP,62.35,-11.609,"3,428 M"
RIG,2.25,-2.624,"1,384 M"
RIO,75.29,16.753,"93,879 M"
RIV,15.79,-76.664,148 M
RJA,6.24,<empty>,0
RJF,93.74,16.107,"12,836 M"
RJI,4.81,<empty>,0
RKT,21.70,8.9348,"43,063 M"
RL,98.84,-37.308,"7,226 M"
RLI,103.63,38.502,"4,669 M"
RLJ,13.52,-7.3306,"2,231 M"
RMD,211.67,46.872,"30,674 M"
RMG,25.38,1678.1,730 M
RMM,17.55,-19.852,346 M
RMR,37.50,22.548,"1,177 M"
RMT,10.12,<empty>,436 M
RNA,29.85,-34.617,"1,120 M"
RNG,402.51,-319.16,"36,078 M"
RNP,21.84,<empty>,"1,039 M"
RNR,160.44,14.023,"8,152 M"
ROG,151.09,487.23,"2,822 M"
ROK,247.64,28.278,"28,771 M"
ROL,40.85,80.423,"20,083 M"
ROP,412.92,28.727,"43,304 M"
RP,87.53,124.91,"8,915 M"
RPD,92.55,-50.682,"4,798 M"
RPM,89.12,30.587,"11,580 M"
RPT,8.27,12.092,670 M
RQI,11.92,<empty>,"1,600 M"
RRC,6.86,-.67901,"1,758 M"
RRD,1.95,-.86959,139 M
RRR,24.79,-9.8971,"2,908 M"
RS,117.51,19.307,"7,492 M"
RSF,15.81,<empty>,86 M
RSG,95.82,30.321,"30,540 M"
RTP,11.56,<empty>,997 M
RTX,69.25,-47.798,"105,171 M"
RUN,69.27,937.08,"13,683 M"
RVI,13.45,-2.3257,267 M
RVP,11.64,22.824,394 M
RVT,16.20,<empty>,"1,628 M"
RWT,8.57,-1.681,959 M
RXN,38.24,29.819,"4,600 M"
RXT,19.75,-15.563,"3,956 M"
RY,80.13,<empty>,"114,030 M"
RYI,11.79,-20.01,449 M
RYN,29.56,91.658,"4,035 M"
SA,20.37,<empty>,"1,510 M"
SAH,38.11,-26.233,"1,603 M"
SAM,1023.06,80.71,"12,525 M"
SAN,3.04,10.106,"52,630 M"
SAP,125.93,26.227,"150,316 M"
SB,1.18,<empty>,121 M
SBE,45.23,<empty>,"1,776 M"
SBH,12.42,12.395,"1,401 M"
SBS,8.44,53.878,"5,769 M"
SBT,4.44,-14.469,222 M
SC,20.85,12.698,"6,382 M"
SCD,11.56,-11.451,208 M
SCI,48.50,19.186,"8,378 M"
SCL,116.15,23.221,"2,609 M"
SCM,10.68,38.613,208 M
SCS,12.59,18.96,"1,447 M"
SD,3.18,-.21272,114 M
SDC,13.43,-17.253,"5,185 M"
SE,200.65,-53.35,"101,762 M"
SEE,45.17,15.409,"7,008 M"
SEM,26.62,16.942,"3,587 M"
SF,50.29,14.124,"5,180 M"
SFE,6.04,-4.0174,126 M
SFL,5.92,<empty>,716 M
SFM,20.21,9.6826,"2,384 M"
SFT,9.43,-17.631,774 M
SGH,35.40,-704.87,877 M
SGU,9.44,9.0414,391 M
SHC,27.36,-327.5,"7,591 M"
SHG,29.74,4.8483,"15,361 M"
SHO,10.91,-6.9975,"2,353 M"
SHW,737.07,35.94,"66,944 M"
SI,68.38,47.553,"1,281 M"
SIC,7.34,-54.881,187 M
SID,5.82,41.424,"8,032 M"
SIG,27.37,-12.122,"1,433 M"
SII,29.34,<empty>,719 M
SIX,32.32,-8.2158,"2,746 M"
SJI,21.30,16.55,"2,143 M"
SJM,114.73,15,"13,090 M"
SJR,17.31,<empty>,"8,842 M"
SJT,2.77,26.204,129 M
SKM,24.44,16.705,"15,766 M"
SKT,10.26,-19.764,959 M
SKX,36.23,56.301,"5,694 M"
SKY,31.56,34.244,"1,788 M"
SLB,21.36,-2.9351,"29,734 M"
SLF,42.87,<empty>,"25,080 M"
SLG,55.95,21.884,"4,060 M"
SLM,12.36,8.5317,"4,638 M"
SLP,73.21,131.8,"1,459 M"
SLS,7.06,-1.4742,100 M
SM,5.40,-.93414,619 M
SMG,199.93,29.383,"11,134 M"
SMM,4.34,<empty>,77 M
SMP,41.78,16.627,938 M
SNA,167.54,15.899,"9,083 M"
SND,1.87,1.7997,77 M
SNE,97.46,13.485,"120,412 M"
SNN,41.78,45.655,"18,319 M"
SNP,43.31,9.6538,"52,436 M"
SNR,5.24,-16.151,435 M
SNV,31.74,13.968,"4,691 M"
SNX,81.13,8.6675,"4,182 M"
SNY,47.81,9.1438,"120,008 M"
SO,59.72,20.164,"63,079 M"
SOI,8.12,-18.687,368 M
SOL,12.00,-3.0492,"1,222 M"
SON,59.35,22.946,"5,960 M"
SOS,1.30,-1.3352,42 M
SP,27.99,-3.7111,646 M
SPB,74.32,33.827,"3,202 M"
SPG,83.72,19.98,"27,472 M"
SPH,14.90,15.775,931 M
SPI,8.02,-23.101,178 M
SPR,36.75,-7.6049,"3,882 M"
SPT,55.48,-45.319,"2,937 M"
SQ,241.58,330.69,"108,937 M"
SQM,49.74,74.917,"13,091 M"
SQZ,30.09,-15.32,744 M
SR,63.11,44.708,"3,260 M"
SRC,40.01,-464.67,"4,571 M"
SRE,126.27,10.038,"36,425 M"
SRG,14.35,-5.6395,826 M
SRI,30.41,-106.33,821 M
SRT,7.94,-8.3846,320 M
SSB,72.00,34.655,"5,108 M"
SSD,93.10,22.185,"4,043 M"
SSL,8.33,-1.0878,"5,280 M"
SSP,14.00,33.211,"1,142 M"
ST,50.74,<empty>,"7,982 M"
STC,48.67,12.829,"1,300 M"
STE,182.59,37.524,"15,579 M"
STG,1.05,-2.3954,177 M
STK,27.03,<empty>,430 M
STL,17.25,13.708,"3,353 M"
STM,36.81,34.541,"33,246 M"
STN,32.08,<empty>,"3,596 M"
STT,70.19,11.263,"24,763 M"
STX,63.71,16.547,"16,369 M"
STZ,212.95,39.81,"41,270 M"
SU,16.44,<empty>,"25,073 M"
SUI,147.18,90.942,"15,831 M"
SUM,19.12,16.122,"2,182 M"
SUN,28.47,18.102,"2,833 M"
SUP,4.22,-.28314,108 M
SUZ,11.22,<empty>,"15,138 M"
SV,10.47,<empty>,301 M
SVC,11.08,-10.01,"1,826 M"
SVM,6.36,<empty>,"1,114 M"
SWI,15.89,115.16,"4,990 M"
SWK,179.02,28.593,"28,683 M"
SWM,39.92,14.859,"1,250 M"
SWN,3.31,-.60655,"2,232 M"
SWX,59.39,15.381,"3,375 M"
SXC,4.28,53.394,354 M
SXT,73.49,46.219,"3,113 M"
SY,11.25,213.93,"1,201 M"
SYF,33.26,14.801,"19,417 M"
SYK,235.29,51.947,"88,420 M"
SYN,.3530,-.45549,7.1 M
SYX,36.01,21.836,"1,347 M"
SYY,71.92,-1857.1,"36,633 M"
T,28.40,20.388,"202,378 M"
TA,35.34,7.4306,509 M
TAC,6.90,<empty>,"1,892 M"
TAK,18.46,62.955,"57,719 M"
TAL,68.89,-2115.4,"41,361 M"
TAP,44.42,16.894,"9,625 M"
TAT,.2460,<empty>,19 M
TBB,27.35,<empty>,0
TBC,27.93,<empty>,0
TBI,18.64,-4.7654,661 M
TBK,49.09,26.187,"1,220 M"
TC,4.50,-12.257,91 M
TCF,35.60,23.8,"5,429 M"
TCO,43.00,-34.183,"2,654 M"
TCP,28.58,7.8144,"2,092 M"
TCS,12.04,26.439,609 M
TD,55.00,<empty>,"99,858 M"
TDC,22.64,24.281,"2,475 M"
TDG,596.23,73.539,"32,456 M"
TDS,17.80,9.3999,"2,035 M"
TDW,8.36,-1.5945,339 M
TDY,378.83,37.306,"13,972 M"
TEF,3.93,100.74,"20,636 M"
TEI,7.79,<empty>,374 M
TEL,116.79,-161.85,"38,627 M"
TEN,9.83,-.39878,800 M
TEO,6.95,38.393,"2,994 M"
TER,118.57,30.749,"19,689 M"
TEX,35.07,339.28,"2,430 M"
TFC,46.03,15.103,"62,054 M"
TFX,396.84,52.58,"18,480 M"
TG,15.47,-8.592,518 M
TGA,.88,<empty>,64 M
TGB,1.2700,<empty>,355 M
TGC,1.14,-6.7316,12 M
TGH,19.61,19.066,999 M
TGI,12.25,-1.7427,673 M
TGP,11.19,10.108,973 M
TGS,5.45,5.988,824 M
TGT,172.35,22.592,"86,308 M"
TH,1.56,-9.6524,158 M
THC,40.83,-324.91,"4,308 M"
THG,115.08,14.97,"4,187 M"
THM,1.42,<empty>,277 M
THO,101.47,18.591,"5,618 M"
THQ,19.79,7.2266,818 M
THR,15.18,-726.08,504 M
THS,41.79,-77.826,"2,362 M"
THW,15.70,7.9604,474 M
TIF,131.15,55.808,"15,923 M"
TJX,66.97,110.7,"80,406 M"
TK,2.26,<empty>,229 M
TKC,5.14,10.538,"4,488 M"
TKR,76.41,17.036,"5,758 M"
TLK,23.70,9.4254,"23,478 M"
TLS,28.90,<empty>,"1,803 M"
TM,150.77,15.529,"210,773 M"
TME,18.88,51.159,"31,672 M"
TMO,465.20,38.243,"184,375 M"
TMQ,1.91,<empty>,273 M
TMX,51.33,193.44,"6,781 M"
TNC,67.88,31.55,"1,254 M"
TNK,10.71,<empty>,361 M
TNP,8.32,<empty>,156 M
TOL,46.12,13.591,"5,820 M"
TOT,42.19,-18.95,"110,906 M"
TPB,44.73,111.25,857 M
TPC,13.13,-47.114,667 M
TPH,17.72,8.329,"2,247 M"
TPR,30.17,-15.121,"8,369 M"
TPX,27.78,23.285,"5,733 M"
TPZ,10.98,<empty>,76 M
TR,29.98,34.37,"1,989 M"
TRC,14.67,40.551,385 M
TRI,79.53,21.525,"39,524 M"
TRN,26.50,-17.68,"3,025 M"
TRP,40.74,<empty>,"38,298 M"
TRQ,12.56,<empty>,"2,527 M"
TRS,31.33,-20.346,"1,354 M"
TRU,98.78,58.88,"18,798 M"
TRV,136.48,15.855,"34,572 M"
TRX,.5830,<empty>,118 M
TS,15.88,-15.838,"9,373 M"
TSC,16.42,12.688,490 M
TSE,48.61,-34.251,"1,862 M"
TSM,103.94,31.277,"539,041 M"
TSN,62.48,11.048,"22,751 M"
TT,143.00,<empty>,"34,338 M"
TTC,94.23,34.515,"10,142 M"
TTD,971.12,326.32,"45,608 M"
TTI,.8646,-.70742,109 M
TTM,11.06,-3.7043,"7,958 M"
TU,19.68,<empty>,"25,387 M"
TUP,33.32,106.63,"1,639 M"
TV,7.65,-45.984,"4,315 M"
TW,65.41,70.697,"14,892 M"
TWI,4.68,-3.9234,287 M
TWO,6.39,-1.0006,"1,749 M"
TX,30.20,31.068,"5,928 M"
TXG,149.64,-104.29,"16,102 M"
TXN,162.52,31.025,"149,184 M"
TXT,46.82,39.972,"10,716 M"
TYG,20.69,<empty>,276 M
TYL,438.52,98.63,"17,684 M"
TpA,27.30,<empty>,0
TpC,26.85,<empty>,0
U,172.29,-112.02,"46,652 M"
UA,14.68,-9.2347,"6,675 M"
UAA,16.88,-10.623,"7,675 M"
UAL,42.97,-2.7207,"12,576 M"
UBA,13.74,64.563,551 M
UBS,13.68,<empty>,"49,083 M"
UBX,5.62,-2.8724,297 M
UCL,11.81,996.41,333 M
UDR,37.37,83.066,"11,005 M"
UE,13.46,20.478,"1,571 M"
UEC,1.64,-23.155,326 M
UFI,16.41,-5.392,303 M
UFS,30.71,<empty>,"1,695 M"
UGI,34.50,14.02,"7,191 M"
UGP,4.50,142.96,"4,896 M"
UHS,135.80,13.472,"11,540 M"
UI,281.31,40.006,"17,663 M"
UIS,18.54,1.2591,"1,169 M"
UK,6.01,-18.382,0.6 M
UL,58.02,22.683,"152,549 M"
UMC,8.16,25.496,"20,273 M"
UMH,15.09,-13.046,629 M
UNF,206.11,29.327,"3,890 M"
UNH,335.01,19.443,"317,864 M"
UNM,21.32,4.6364,"4,342 M"
UNP,201.52,25.938,"135,798 M"
UPS,174.56,33.256,"150,889 M"
URG,.7045,<empty>,120 M
URI,227.39,18.243,"16,403 M"
USA,6.85,<empty>,"1,458 M"
USB,45.59,14.857,"68,679 M"
USM,28.93,10.992,"2,489 M"
USX,6.92,318.6,343 M
UTF,25.46,<empty>,"2,381 M"
UTG,32.38,<empty>,"1,666 M"
UTI,6.29,70.457,205 M
UTL,41.43,21.327,622 M
UTZ,22.85,394.68,"2,756 M"
UVE,14.49,-42.478,454 M
UVV,47.35,22.33,"1,161 M"
UZB,25.60,<empty>,0
UZE,25.12,<empty>,0
V,205.84,47.678,"453,755 M"
VAC,131.75,-32.302,"5,410 M"
VAR,174.52,58.246,"15,943 M"
VC,125.40,-89.002,"3,490 M"
VER,37.02,31.723,"8,083 M"
VET,4.24,<empty>,671 M
VFC,82.88,-245.38,"32,324 M"
VFF,9.85,<empty>,651 M
VG,13.97,-133.72,"3,469 M"
VGI,11.74,<empty>,133 M
VGM,13.04,41.508,707 M
VGR,11.78,27.759,"1,806 M"
VGZ,1.09,<empty>,112 M
VHC,5.57,1.3106,396 M
VIE,36.01,-13.742,"1,975 M"
VIR,30.27,-4.7955,"3,856 M"
VIV,8.77,17.245,"14,808 M"
VKI,11.18,42.583,496 M
VKQ,12.60,42.736,697 M
VLO,53.70,-800.26,"21,898 M"
VLY,9.46,12.525,"3,821 M"
VMC,143.27,31.683,"18,985 M"
VMD,7.92,<empty>,310 M
VMI,173.40,26.425,"3,685 M"
VMO,12.66,41.787,853 M
VMW,140.54,36.926,"58,996 M"
VNE,21.07,-4.1139,"2,351 M"
VNO,35.41,131.15,"6,773 M"
VNT,34.04,17.205,"5,732 M"
VOC,2.4660,8.2462,42 M
VOD,16.26,17.175,"43,632 M"
VPV,12.53,<empty>,299 M
VRA,7.86,20.01,263 M
VRM,43.70,8.9969,"5,692 M"
VRS,12.02,3.3098,405 M
VRT,18.96,-21.308,"6,227 M"
VSH,20.04,33.182,"2,899 M"
VST,18.13,9.6836,"8,868 M"
VTA,10.40,<empty>,655 M
VTN,12.79,<empty>,249 M
VTR,49.24,56.207,"18,444 M"
VVI,32.35,-2.0152,661 M
VVR,3.86,<empty>,591 M
VVV,23.16,13.834,"4,284 M"
VXX,18.11,<empty>,272 M
VZ,58.99,13.674,"244,106 M"
W,284.84,-141.04,"28,327 M"
WAB,72.21,29.637,"13,743 M"
WAL,59.00,13.408,"5,949 M"
WAT,246.29,32.075,"15,282 M"
WB,45.94,20.606,"10,404 M"
WBA,39.27,78.551,"33,925 M"
WBK,14.73,33.692,"53,181 M"
WBS,41.07,15.67,"3,705 M"
WBT,12.03,-177.32,"1,702 M"
WCC,75.77,28.407,"3,792 M"
WCN,102.72,<empty>,"27,005 M"
WD,89.90,13.991,"2,807 M"
WDC,49.72,-476.14,"15,127 M"
WDR,25.17,17.934,"1,573 M"
WEC,89.47,23.999,"28,222 M"
WEI,1.45,-1.5429,102 M
WEN,22.37,49.734,"5,014 M"
WES,13.87,11.387,"5,773 M"
WEX,199.94,199.91,"8,823 M"
WFC,28.96,83.211,"119,735 M"
WGO,65.95,34.123,"2,213 M"
WH,54.50,-83.788,"5,078 M"
WHD,25.40,33.552,"1,914 M"
WHF,13.43,8.6513,276 M
WHR,187.79,12.705,"11,746 M"
WIA,13.21,<empty>,385 M
WIT,5.48,23.423,"31,200 M"
WIW,12.08,<empty>,739 M
WIX,272.19,<empty>,"15,145 M"
WK,93.34,-74.144,"4,499 M"
WLK,81.14,36.334,"10,363 M"
WLL,23.54,-.13274,896 M
WM,117.92,33.068,"49,834 M"
WMB,20.61,119.08,"25,012 M"
WMC,3.34,-.58706,203 M
WMG,37.60,<empty>,"19,177 M"
WMK,46.66,10.85,"1,255 M"
WMS,81.72,33.027,"5,759 M"
WMT,144.20,28.129,"407,983 M"
WNC,17.22,-10.802,912 M
WNS,71.56,33.967,"3,577 M"
WNW,41.06,-1110.8,"1,027 M"
WOR,49.19,4.6623,"2,595 M"
WOW,10.00,43.592,868 M
WPC,70.30,27.126,"12,330 M"
WPF,11.20,<empty>,"1,449 M"
WPG,7.12,-1.5382,148 M
WPM,41.32,<empty>,"18,564 M"
WPP,53.18,-4.3168,"13,033 M"
WPX,7.61,-3.8319,"4,270 M"
WRB,65.38,37.448,"11,652 M"
WRE,21.51,36.396,"1,772 M"
WRI,21.31,17.093,"2,731 M"
WRK,43.83,-16.737,"11,531 M"
WRN,1.24,<empty>,168 M
WSC,22.49,100.47,"5,129 M"
WSG,2.25,-.84144,313 M
WSM,107.84,16.076,"8,259 M"
WSO,232.95,33.557,"8,964 M"
WSR,7.79,18.004,330 M
WST,282.91,67.362,"20,915 M"
WTI,2.24,6.1308,318 M
WTS,118.11,34.051,"3,974 M"
WTT,1.62,-15.599,35 M
WU,21.80,13.521,"8,962 M"
WVE,8.73,-1.6762,426 M
WW,26.20,20.422,"1,784 M"
WWD,119.27,31.769,"7,503 M"
WWE,47.14,21.273,"3,667 M"
WWR,5.82,-1.1969,112 M
WWW,31.42,78.732,"2,579 M"
WY,33.35,51.371,"24,893 M"
WYY,9.39,40.765,79 M
X,16.88,-1.6334,"3,720 M"
XAN,3.73,-.55432,120 M
XEC,37.21,-1.7227,"3,794 M"
XEL,64.83,23.576,"34,833 M"
XHR,14.31,-9.5885,"1,627 M"
XIN,2.30,-2.3871,123 M
XOM,41.24,72.491,"174,372 M"
XP,40.31,58.112,"22,243 M"
XPL,.5667,-40.693,33 M
XPO,117.85,163.55,"10,773 M"
XRX,22.38,4.0876,"4,440 M"
XYL,99.40,80.887,"17,915 M"
Y,582.90,-258.46,"8,237 M"
YAC,10.09,<empty>,435 M
YJ,2.09,-44.591,444 M
YPF,5.01,-1.3832,"1,970 M"
YQ,14.61,-20.662,"2,745 M"
YRD,3.18,7.2847,295 M
YSG,16.69,-28.824,"11,107 M"
YUM,107.40,31.937,"32,399 M"
YY,78.30,4.4501,"6,341 M"
Z,140.66,-92.224,"32,728 M"
ZBH,150.83,-204.46,"31,264 M"
ZEN,143.49,-86.934,"16,742 M"
ZG,146.69,-97.852,"34,131 M"
ZI,46.51,-149.86,"18,107 M"
ZM,409.00,275.47,"116,977 M"
ZOM,.1920,<empty>,108 M
ZS,206.78,-168.19,"27,748 M"
ZTO,28.00,27.861,"23,948 M"
ZTR,8.67,-15.784,198 M
ZTS,161.83,46.98,"76,913 M"
ZUO,14.00,-18.819,"1,669 M"
ZVO,4.14,-7.7463,133 M
