Watchlist 'nyse4'

nyse4
Symbol,Last,Price / Earnings Ratio - Current,Market Cap
CPF,18.60,13.664,524 M
CPG,2.18,<empty>,"1,155 M"
CPK,105.14,24.626,"1,836 M"
CPS,34.61,-1.9648,585 M
CPT,98.10,51.006,"9,555 M"
CPZ,17.13,<empty>,0
CQP,34.01,15.272,"16,462 M"
CR,75.79,183.99,"4,404 M"
CRC,19.57,-.47935,"1,631 M"
CRF,11.22,<empty>,451 M
CRH,42.02,18.939,"32,988 M"
CRI,91.85,30.528,"4,009 M"
CRK,4.44,-6.9166,"1,032 M"
CRL,252.62,41.494,"12,566 M"
CRM,231.17,133.62,"211,521 M"
CRS,27.45,-15.472,"1,318 M"
CRY,23.16,-59.014,900 M
CS,12.17,7.3068,"29,473 M"
CSL,156.28,25.728,"8,342 M"
CSQ,15.73,<empty>,"2,437 M"
CSV,30.51,52.511,548 M
CSX,89.55,25.186,"68,486 M"
CTB,36.98,12.335,"1,863 M"
CTK,3.00,-5.2767,184 M
CTO,39.91,2.596,236 M
CTR,15.12,<empty>,116 M
CTS,33.69,38.121,"1,087 M"
CTT,9.10,-17.536,444 M
CUB,58.85,-743.76,"1,855 M"
CUE,13.10,-8.4829,397 M
CUK,17.10,-1.746,"15,094 M"
CUZ,34.12,13.947,"5,069 M"
CVA,12.81,-60.729,"1,691 M"
CVE,5.56,<empty>,"6,833 M"
CVI,13.79,-10.35,"1,386 M"
CVM,14.35,-15.896,571 M
CVS,67.22,11.816,"87,985 M"
CVU,3.949,-7.5813,47 M
CVX,84.36,-13.75,"162,394 M"
CW,110.43,20.23,"4,583 M"
CWH,28.38,14.326,"2,519 M"
CWK,14.64,-17.438,"3,245 M"
CWT,52.31,-87.172,"2,607 M"
CX,5.01,-4.2103,"7,569 M"
CXE,4.87,-17.539,154 M
CXO,56.77,-1.1361,"11,144 M"
CXP,14.19,-300.49,"1,624 M"
CXW,6.45,7.1878,772 M
CYH,7.59,-5.0496,908 M
CZR,74.31,-6.4326,"15,477 M"
CZZ,18.76,<empty>,"4,191 M"
CpJ,28.48,<empty>,0
CpK,28.14,<empty>,0
CpN,27.80,<empty>,0
CpS,25.64,<empty>,0
D,73.50,37.076,"59,963 M"
DAC,20.09,<empty>,411 M
DAL,38.94,-2.5173,"24,833 M"
DAN,19.70,215.58,"2,846 M"
DAO,25.84,-10.789,"2,888 M"
DAR,55.44,19.079,"8,985 M"
DB,10.62,<empty>,"21,925 M"
DBD,11.04,-2.5887,858 M
DBI,7.03,-1.4374,509 M
DBX,24.87,180.89,"10,287 M"
DCI,56.42,28.451,"7,122 M"
DCO,51.64,21.987,605 M
DCP,18.52,-8.7615,"3,859 M"
DCT,45.72,-197.81,"5,982 M"
DD,70.42,-17.137,"51,678 M"
DDD,11.90,-9.3816,"1,477 M"
DDS,53.15,-15.825,"1,169 M"
DE,269.26,31.154,"84,376 M"
DEA,22.17,155.91,"1,801 M"
DEH,10.12,<empty>,436 M
DEI,29.34,16.777,"5,145 M"
DEN,24.17,-.89625,"1,208 M"
DEO,157.92,50.962,"92,336 M"
DFS,86.84,26.269,"26,616 M"
DG,213.07,20.848,"52,202 M"
DGX,121.20,14.867,"16,334 M"
DHC,4.14,-5.6529,986 M
DHF,2.96,<empty>,215 M
DHI,72.32,11.421,"26,353 M"
DHR,222.93,45.395,"158,364 M"
DHT,5.18,2.6995,885 M
DHX,1.96,-3.6492,103 M
DHY,2.29,<empty>,237 M
DIN,64.95,-14.035,"1,066 M"
DIS,170.45,-109.14,"308,597 M"
DJP,21.34,<empty>,841 M
DK,15.04,-3.8983,"1,109 M"
DKS,55.37,12.351,"4,961 M"
DLB,92.73,41.269,"9,360 M"
DLR,138.54,56.887,"38,814 M"
DLX,24.79,40.118,"1,039 M"
DLY,18.20,-90.758,0
DM,20.01,-53.206,"4,536 M"
DMO,14.17,<empty>,156 M
DMS,12.40,-420.95,724 M
DNB,26.96,-22.631,"11,405 M"
DNK,3.16,-.8017,578 M
DNN,.5888,<empty>,399 M
DNP,10.27,-18.301,"3,119 M"
DOC,18.09,40.09,"3,767 M"
DOV,123.44,26.954,"17,788 M"
DOW,54.67,-17.778,"40,552 M"
DOX,69.16,18.669,"9,068 M"
DPG,11.26,-3.1055,427 M
